iter	Passed	Remaining
250	252	754
251	253	753
252	254	751
253	255	750
254	256	750
255	257	749
256	259	751
257	260	749
258	261	748
259	262	746
260	263	745
261	264	743
262	264	742
263	265	741
264	266	739
265	267	738
266	268	737
267	269	736
268	271	736
269	272	735
270	273	734
271	274	733
272	274	732
273	275	731
274	276	730
275	277	728
276	278	727
277	279	726
278	280	725
279	281	724
280	282	723
281	284	724
282	285	723
283	286	722
284	287	720
285	288	720
286	289	719
287	290	718
288	291	716
289	292	715
290	293	714
291	294	713
292	295	711
293	296	710
294	296	709
295	298	709
296	299	708
297	300	708
298	301	707
299	302	706
300	303	705
301	304	704
302	306	703
303	307	702
304	307	701
305	308	700
306	309	699
307	311	699
308	312	698
309	313	697
310	314	696
311	315	695
312	316	693
313	316	692
314	317	690
315	318	689
316	319	688
317	320	686
318	321	685
319	321	684
320	322	682
321	323	681
322	324	680
323	325	679
324	326	678
325	327	677
326	328	676
327	329	675
328	330	674
329	331	673
330	332	672
331	333	671
332	334	669
333	335	668
334	336	667
335	337	666
336	338	666
337	339	665
338	340	663
339	341	662
340	342	661
341	343	660
342	344	659
343	345	658
344	346	657
345	347	656
346	348	654
347	348	653
348	349	652
349	350	651
350	352	650
351	353	650
352	354	649
353	355	648
354	356	647
355	357	645
356	357	644
357	358	643
358	359	642
359	360	640
360	361	639
361	362	638
362	363	637
363	363	635
364	364	634
365	366	634
366	367	633
367	368	632
368	369	631
369	370	630
370	370	628
371	371	627
372	372	626
373	373	624
374	374	623
375	374	622
376	375	620
377	376	619
378	377	618
379	378	617
380	379	617
381	381	616
382	382	615
383	383	614
384	384	613
385	385	612
386	386	611
387	387	611
388	388	609
389	389	608
390	390	607
391	391	606
392	392	605
393	393	605
394	394	604
395	395	603
396	396	602
397	397	601
398	398	600
399	399	599
400	400	597
401	401	596
402	402	595
403	403	594
404	404	593
405	405	592
406	405	591
407	407	591
408	408	590
409	409	589
410	410	588
411	411	587
412	412	586
413	413	585
414	414	584
415	415	583
416	416	582
417	417	581
418	418	580
419	419	579
420	420	578
421	421	577
422	422	576
423	423	575
424	424	574
425	425	573
426	426	572
427	427	571
428	428	570
429	429	569
430	430	568
431	431	567
432	432	566
433	433	565
434	434	564
435	444	575
436	445	574
437	446	573
438	447	572
439	449	571
440	450	570
441	451	569
442	452	568
443	453	567
444	454	566
445	454	565
446	455	564
447	456	562
448	457	561
449	458	560
450	459	559
451	460	558
452	461	557
453	462	556
454	464	555
455	465	554
456	466	553
457	467	552
458	468	551
459	469	550
460	470	549
461	471	548
462	472	547
463	473	546
464	474	545
465	475	544
466	476	544
467	478	543
468	479	542
469	480	541
470	481	540
471	482	539
472	482	538
473	483	536
474	484	535
475	485	534
476	486	533
477	487	532
478	488	531
479	489	530
480	490	529
481	492	529
482	493	528
483	494	527
484	495	526
485	496	525
486	497	524
487	498	522
488	499	521
489	500	520
490	501	519
491	502	518
492	503	517
493	504	516
494	505	515
495	506	514
496	507	513
497	508	512
498	509	511
499	510	510
500	511	508
501	511	507
502	512	506
503	513	505
504	514	504
505	515	503
506	516	502
507	517	501
508	518	500
509	519	499
510	520	498
511	521	497
512	522	496
513	523	495
514	524	493
515	525	492
516	526	491
517	527	490
518	528	489
519	529	488
520	529	487
521	531	486
522	532	485
523	533	484
524	534	483
525	535	482
526	536	481
527	537	480
528	538	479
529	538	477
530	539	476
531	540	475
532	541	474
533	542	473
534	544	473
535	545	472
536	546	471
537	547	470
538	548	469
539	549	467
540	550	466
541	551	465
542	552	464
543	552	463
544	553	462
545	554	461
546	555	460
547	556	459
548	557	457
549	558	457
550	559	456
551	560	455
552	562	454
553	563	453
554	564	452
555	565	451
556	566	450
557	566	449
558	567	447
559	568	446
560	569	445
561	570	444
562	572	443
563	573	443
564	573	441
565	575	440
566	576	439
567	577	438
568	578	437
569	578	436
570	579	435
571	580	434
572	581	433
573	582	432
574	583	431
575	585	430
576	586	429
577	587	428
578	588	427
579	589	426
580	590	425
581	591	424
582	592	423
583	592	422
584	593	421
585	594	420
586	595	419
587	596	418
588	597	416
589	598	416
590	599	415
591	600	414
592	601	413
593	602	412
594	603	410
595	604	409
596	605	408
597	606	407
598	607	406
599	608	405
600	609	404
601	609	403
602	610	402
603	611	401
604	612	400
605	613	399
606	614	397
607	615	396
608	616	395
609	617	394
610	618	393
611	618	392
612	619	391
613	620	390
614	621	388
615	622	387
616	622	386
617	623	385
618	624	384
619	625	383
620	626	382
621	627	381
622	628	380
623	629	379
624	630	378
625	630	376
626	631	375
627	632	374
628	633	373
629	634	372
630	635	371
631	635	370
632	636	369
633	637	368
634	638	366
635	639	366
636	640	365
637	641	364
638	642	363
639	644	362
640	645	361
641	646	360
642	647	359
643	649	358
644	650	357
645	651	356
646	653	356
647	655	356
648	656	355
649	657	354
650	658	353
651	659	352
652	661	351
653	662	350
654	663	349
655	664	348
656	665	347
657	666	346
658	668	346
659	670	345
660	671	344
661	673	343
662	674	342
663	675	341
664	676	340
665	677	339
666	678	338
667	679	337
668	680	336
669	681	335
670	683	334
671	684	333
672	685	332
673	685	331
674	686	330
675	687	329
676	688	328
677	690	327
678	691	326
679	692	325
680	693	324
681	694	323
682	695	322
683	696	321
684	697	320
685	698	319
686	699	318
687	700	317
688	701	316
689	702	315
690	703	314
691	704	313
692	705	312
693	706	311
694	707	310
695	709	309
696	710	308
697	711	307
698	712	306
699	713	305
700	714	304
701	715	303
702	717	302
703	718	302
704	719	301
705	720	300
706	722	299
707	724	298
708	725	297
709	726	296
710	728	295
711	729	295
712	731	294
713	733	293
714	734	292
715	736	292
716	738	291
717	739	290
718	740	289
719	741	288
720	743	287
721	744	286
722	745	285
723	747	284
724	749	284
725	752	284
726	754	283
727	755	282
728	758	281
729	760	281
730	761	280
731	763	279
732	765	278
733	766	277
734	769	277
735	771	276
736	773	275
737	774	275
738	776	274
739	777	273
740	779	272
741	780	271
742	782	270
743	783	269
744	785	268
745	787	268
746	788	267
747	790	266
748	792	265
749	793	264
750	795	263
751	797	262
752	798	262
753	800	261
754	802	260
755	803	259
756	805	258
757	806	257
758	807	256
759	808	255
760	810	254
761	811	253
762	812	252
763	813	251
764	814	250
765	815	249
766	816	248
767	817	247
768	818	245
769	820	244
770	876	260
771	877	259
772	879	258
773	881	257
774	882	256
775	884	255
776	885	254
777	886	252
778	887	251
779	888	250
780	889	249
781	890	248
782	891	247
783	892	245
784	894	244
785	895	243
786	897	242
787	898	241
788	899	240
789	900	239
790	901	238
791	902	237
792	903	235
793	904	234
794	906	233
795	907	232
796	908	231
797	909	230
798	910	228
799	911	227
800	912	226
801	913	225
802	914	224
803	915	223
804	916	222
805	917	220
806	919	219
807	920	218
808	921	217
809	923	216
810	925	215
811	927	214
812	928	213
813	929	212
814	930	211
815	931	210
816	932	208
817	933	207
818	934	206
819	935	205
820	936	204
821	937	202
822	937	201
823	938	200
824	940	199
825	941	198
826	942	197
827	943	196
828	944	194
829	945	193
830	946	192
831	947	191
832	948	190
833	949	189
834	950	187
835	951	186
836	952	185
837	953	184
838	954	183
839	956	182
840	957	181
841	958	179
842	959	178
843	960	177
844	961	176
845	962	175
846	963	174
847	964	172
848	965	171
849	965	170
850	966	169
851	967	168
852	969	167
853	971	166
854	972	164
855	973	163
856	974	162
857	975	161
858	976	160
859	977	159
860	978	157
861	979	156
862	980	155
863	981	154
864	982	153
865	984	152
866	984	151
867	986	149
868	987	148
869	988	147
870	989	146
871	990	145
872	991	144
873	992	143
874	992	141
875	993	140
876	994	139
877	997	138
878	998	137
879	999	136
880	1000	135
881	1001	133
882	1002	132
883	1003	131
884	1004	130
885	1005	129
886	1005	128
887	1006	126
888	1007	125
889	1009	124
890	1010	123
891	1011	122
892	1012	121
893	1013	120
894	1014	119
895	1015	117
896	1016	116
897	1017	115
898	1018	114
899	1019	113
900	1020	112
901	1021	110
902	1022	109
903	1024	108
904	1025	107
905	1026	106
906	1027	105
907	1028	104
908	1029	103
909	1029	101
910	1030	100
911	1031	99
912	1032	98
913	1033	97
914	1034	96
915	1035	94
916	1037	93
917	1039	92
918	1040	91
919	1041	90
920	1041	89
921	1042	88
922	1043	87
923	1044	85
924	1045	84
925	1046	83
926	1047	82
927	1048	81
928	1049	80
929	1051	79
930	1052	78
931	1053	76
932	1054	75
933	1055	74
934	1056	73
935	1057	72
936	1058	71
937	1061	70
938	1063	69
939	1065	68
940	1066	66
941	1067	65
942	1069	64
943	1071	63
944	1073	62
945	1075	61
946	1076	60
947	1079	59
948	1080	58
949	1082	56
950	1083	55
951	1085	54
952	1086	53
953	1088	52
954	1090	51
955	1095	50
956	1097	49
957	1099	48
958	1102	47
959	1104	46
960	1109	45
961	1111	43
962	1112	42
963	1113	41
964	1115	40
965	1117	39
966	1119	38
967	1120	37
968	1123	35
969	1125	34
970	1127	33
971	1128	32
972	1130	31
973	1132	30
974	1133	29
975	1134	27
976	1136	26
977	1137	25
978	1139	24
979	1140	23
980	1141	22
981	1142	20
982	1143	19
983	1144	18
984	1145	17
985	1146	16
986	1147	15
987	1148	13
988	1150	12
989	1151	11
990	1152	10
991	1153	9
992	1154	8
993	1154	6
994	1156	5
995	1157	4
996	1158	3
997	1159	2
998	1160	1
999	1161	0
